,id,full_name,first_name,last_name,is_active
3694,2624,Quinton Ross,Quinton,Ross,False
3695,203082,Terrence Ross,Terrence,Ross,True
3696,78021,Doug Roth,Doug,Roth,False
3697,78022,Scott Roth,Scott,Roth,False
3698,78023,Irv Rothenberg,Irv,Rothenberg,False
3699,78024,Mickey Rottner,Mickey,Rottner,False
3700,78025,Dan Roundfield,Dan,Roundfield,False
3701,78026,Giff Roux,Giff,Roux,False
3702,78027,Ron Rowan,Ron,Rowan,False
3703,78028,Curtis Rowe,Curtis,Rowe,False
3704,78029,Jim Rowinski,Jim,Rowinski,False
3705,78030,Derrick Rowland,Derrick,Rowland,False
3706,78031,Brian Rowsom,Brian,Rowsom,False
3707,200750,Brandon Roy,Brandon,Roy,False
3708,140,Donald Royal,Donald,Royal,False
3709,78033,Bob Royer,Bob,Royer,False
3710,32,Clifford Rozier,Clifford,Rozier,False
3711,1626179,Terry Rozier,Terry,Rozier,True
3712,201937,Ricky Rubio,Ricky,Rubio,True
3713,2462,Guy Rucker,Guy,Rucker,False
3714,78035,Delaney Rudd,Delaney,Rudd,False
3715,78036,John Rudd,John,Rudd,False
3716,204014,Damjan Rudez,Damjan,Rudez,False
3717,78037,John Rudometkin,John,Rudometkin,False
3718,1913,Michael Ruffin,Michael,Ruffin,False
3719,460,Trevor Ruffin,Trevor,Ruffin,False
3720,78039,Paul Ruffner,Paul,Ruffner,False
3721,78040,Joe Ruklick,Joe,Ruklick,False
3722,78041,Jeff Ruland,Jeff,Ruland,False
3723,78042,Bob Rule,Bob,Rule,False
3724,78043,Jerry Rullo,Jerry,Rullo,False
3725,474,Stefano Rusconi,Stefano,Rusconi,False
3726,201575,Brandon Rush,Brandon,Rush,False
3727,2416,Kareem Rush,Kareem,Rush,False
3728,78049,Bill Russell,Bill,Russell,False
3729,935,Bryon Russell,Bryon,Russell,False
3730,78047,Campy Russell,Campy,Russell,False
3731,78045,Cazzie Russell,Cazzie,Russell,False
3732,1626156,D'Angelo Russell,D'Angelo,Russell,True
3733,78046,Frank Russell,Frank,Russell,False
3734,78048,Walker Russell,Walker,Russell,False
3735,201041,Walker Russell,Walker,Russell,False
3736,1630346,Matt Ryan,Matt,Ryan,True
3737,717,Arvydas Sabonis,Arvydas,Sabonis,False
3738,1627734,Domantas Sabonis,Domantas,Sabonis,True
3739,203135,Robert Sacre,Robert,Sacre,False
3740,78050,Ed Sadowski,Ed,Sadowski,False
3741,78051,Kenny Sailors,Kenny,Sailors,False
3742,927,John Salley,John,Salley,False
3743,2422,John Salmons,John,Salmons,False
3744,1089,Kevin Salvadori,Kevin,Salvadori,False
3745,2066,Soumaila Samake,Soumaila,Samake,False
3746,1629677,Luka Samanic,Luka,Samanic,False
3747,200798,Cheikh Samb,Cheikh,Samb,False
3748,1629102,Brandon Sampson,Brandon,Sampson,False
3749,203960,JaKarr Sampson,JaKarr,Sampson,False
3750,2441,Jamal Sampson,Jamal,Sampson,False
3751,78055,Ralph Sampson,Ralph,Sampson,False
3752,202396,Samardo Samuels,Samardo,Samuels,False
